"Project","RelativePath","SHA256","Length","DuplicateCount","CanonicalArchive"
"Apex","90_References\UE_GAS_SkillGraph_Design_Document.md","83DC88BF3D40446A244928918BF045761B0375D30AAA6EE993B19B759FF8BAC9","155169","3","Agent/99_Legacy_Context/Raw_Markdown/Apex/90_References/UE_GAS_SkillGraph_Design_Document.md"
"Apex","90_References\UE_GAS_SkillGraph_Design_Review.md","B08962D5F20E20791F70FB13E17A4727F26154681AF599F3277E2122B9BDEEC0","10678","3","Agent/99_Legacy_Context/Raw_Markdown/Apex/90_References/UE_GAS_SkillGraph_Design_Review.md"
"Apex","Aura_Legacy_Archive\00_Coordination\Decision_Log.md","CD396BA1689F7528006EA000A7B377DC304E47D53F31420E3C3935A5EDD627A6","12333","2","Agent/99_Legacy_Context/Raw_Markdown/Aura/00_Coordination/Decision_Log.md"
"Apex","Aura_Legacy_Archive\00_Coordination\Git_Workflow.md","E7913A1B993574DAF5C6404A0432BBA021069CEB26FE4EAFD04E5C318A3B8C27","3158","2","Agent/99_Legacy_Context/Raw_Markdown/Aura/00_Coordination/Git_Workflow.md"
"Apex","Aura_Legacy_Archive\00_Coordination\Pending_Questions.md","6958F4AFFA913A2C05855C79C3F43A725FBAAC4E0078B61A2995DF67F889CE78","2975","2","Agent/99_Legacy_Context/Raw_Markdown/Aura/00_Coordination/Pending_Questions.md"
"Apex","Aura_Legacy_Archive\00_Coordination\Session_Summary.md","52E7F16EF16D98BFE4D4E6F14DD780093662B2091F94C20DCA0CA6E7959357BC","5008","2","Agent/99_Legacy_Context/Raw_Markdown/Aura/00_Coordination/Session_Summary.md"
"Apex","Aura_Legacy_Archive\00_Coordination\Skill_MCP_Catalog.md","A3A57F17F4E5D0D2685AEDBAD0FCD83C59FDEDA74CEBB09B2312602308E977F1","4297","2","Agent/99_Legacy_Context/Raw_Markdown/Aura/00_Coordination/Skill_MCP_Catalog.md"
"Apex","Aura_Legacy_Archive\00_Coordination\Task_Backlog.md","82CAEBBCEC37B6B0B23DF467F29AD0C6BD91A030D96E50435CF17E68253DED05","5455","2","Agent/99_Legacy_Context/Raw_Markdown/Aura/00_Coordination/Task_Backlog.md"
"Apex","Aura_Legacy_Archive\00_Coordination\Thread_Recovery_2026-07-08.md","A97FE66725809911799CBEB2CA3939A9107B3BBA39FFE25DCB04FD6547D15D15","6010","2","Agent/99_Legacy_Context/Raw_Markdown/Aura/00_Coordination/Thread_Recovery_2026-07-08.md"
"Apex","Aura_Legacy_Archive\00_Coordination\WorkingAgreement.md","029CDC3D302350FB523798D10457C01C27AA5114466A42E787A74E95A5EE9121","4810","2","Agent/99_Legacy_Context/Raw_Markdown/Aura/00_Coordination/WorkingAgreement.md"
